id,title,url,park_id,created_at,updated_at
1,"Riverside Ash Program Study",http://www.grcity.us/download_upload/binary_object_cache/frontpage_riverside%20park%20ash%20tree%20program.pdf,1,"2009-11-17 16:22:17","2009-11-17 16:22:17"
2,"Trees of Cherry Park Tree Tour Brochure",http://www.grand-rapids.mi.us/index.pl?binobjid=12119.,49,"2010-02-11 18:50:53","2010-02-11 20:15:21"
3,"Home of East Hills Council of Neighbors",http://www.easthillscouncil.org/,49,"2010-02-11 20:19:49","2010-02-11 20:19:49"
4,"Hoop City Website",http://www.hoopcitybasketball.com/hoopcity2/index.html,80,"2011-11-29 20:23:03","2011-11-29 20:23:03"
5,"Indian Trails Golf Course",http://www.indiantrailsgc.com/,57,"2011-11-29 20:26:19","2011-11-29 20:26:19"
6,"Joe Taylor Grand Opening",http://www.mlive.com/news/grand-rapids/index.ssf/2011/06/grand_rapids_opens_joe_taylor.html,58,"2011-11-29 20:49:17","2011-11-29 20:49:17"
7,"Kent County Civil War Memorial",http://www.civilwarmonument.org/,19,"2012-01-16 23:49:24","2012-01-16 23:49:24"
8,"Fulton Street Farmers Market",http://fultonstreetmarket.org/,53,"2012-03-31 19:28:08","2012-03-31 19:28:08"
9,"Perkins Community Garden",http://www.foodshed.net/perkins/,5,"2012-04-02 15:35:34","2012-04-02 15:35:34"
10,"Joni Mitchell would love it",http://www.friendsofgrparks.org/newsroom?mode=PostView&bmi=528523,87,"2012-04-02 17:34:56","2012-04-02 17:34:56"
11,"Grand Rapids Newest Park",http://www.friendsofgrparks.org/newsroom?mode=PostView&bmi=774240,87,"2012-04-02 17:34:56","2012-04-02 17:34:56"
12,"Private funds still needed after Grand Rapids gets $300,000 state grant for 'Pleasant Park' ",http://www.friendsofgrparks.org/newsroom?mode=PostView&bmi=774236,87,"2012-04-02 17:34:56","2012-04-02 17:34:56"
13,"FOX 17 Coverage",http://www.fox17online.com/videogallery/66210353/News/New-Grand-Rapids-Park---11.19.11,88,"2012-04-02 17:40:05","2012-04-02 17:40:05"
14,"Parkland Deal - GR Press",http://www.friendsofgrparks.org/newsroom?mode=PostView&bmi=870847,84,"2012-04-02 17:48:11","2012-04-02 17:48:11"
15,"Grand Rapids Mountain Bike Park Website",http://grbikepark.com/,89,"2012-04-03 15:23:38","2012-04-03 15:23:38"
16,"Add Your Photos of Fishladder",http://www.flickr.com/groups/1321127@N22/,28,"2012-04-04 17:15:22","2012-04-04 17:15:22"
17,"Add your photos of Aberdeen",http://www.flickr.com/groups/1290983@N23,3,"2012-04-04 17:20:06","2012-04-04 17:20:06"
18,"Add your photos of Ah-Nab-Awen",http://www.flickr.com/groups/1239552@N25,23,"2012-04-04 17:21:20","2012-04-04 17:21:20"
19,"Add your photos of Briggs",http://www.flickr.com/groups/1261722@N20,7,"2012-04-04 17:22:39","2012-04-04 17:22:39"
20,"Garfield Park Neighborhood Assoc.",http://www.gpnagr.org/,54,"2012-04-11 18:31:30","2012-04-11 18:31:30"
21,"Grand Rapids History",http://www.historygrandrapids.org/explore.php?essay=21&cat=3,54,"2012-04-11 18:31:30","2012-04-11 18:31:30"
22,"Sprite Spark Park - Vote",http://www.mycokerewards.com/showLBE.do?type=pillar&id=spriteSparks&size=3,81,"2012-04-16 13:46:13","2012-04-16 13:46:13"
23,"Add your photos of Mary Water",http://www.flickr.com/groups/1291950@N23/,17,"2012-04-18 16:30:55","2012-04-18 16:30:55"
24,"submit your photos of Wilcox",http://www.flickr.com/groups/1914489@N20/,71,"2012-04-20 20:17:52","2012-04-20 20:17:52"
25,"post your pictures of Roosevelt Park",http://www.flickr.com/groups/1914497@N20/,80,"2012-04-20 20:37:14","2012-04-20 20:37:14"
26,"add your photos of KInsington Park",http://www.flickr.com/groups/1974852@N20/,78,"2012-04-22 19:40:58","2012-04-22 19:42:07"
27,"add your photos of the Bike Park",http://www.flickr.com/groups/1933394@N24/,89,"2012-04-22 19:43:14","2012-04-22 19:43:14"
28,"add your photos of the Bike Park",http://www.flickr.com/groups/1933394@N24/,89,"2012-04-22 19:43:15","2012-04-22 19:43:15"
29,"Office of Special Events - Rental & Reservations","http://grcity.us/police-department/Office%20of%20Film,%20Music%20and%20Special%20Events/Pages/Applications.aspx",3,"2012-05-02 19:52:00","2012-05-02 19:54:10"
30,"Office of Special Events - Rental & Reservations","http://grcity.us/police-department/Office%20of%20Film,%20Music%20and%20Special%20Events/Pages/Applications.aspx",23,"2012-05-02 19:54:53","2012-05-02 19:54:53"
31,"Office of Special Events - Rental & Reservations","http://grcity.us/police-department/Office%20of%20Film,%20Music%20and%20Special%20Events/Pages/Applications.aspx",26,"2012-05-02 19:55:47","2012-05-02 19:55:47"
32,"Office of Special Events - Rental & Reservations","http://grcity.us/police-department/Office%20of%20Film,%20Music%20and%20Special%20Events/Pages/Applications.aspx",25,"2012-05-02 19:57:57","2012-05-02 19:57:57"
33,"Office of Special Events - Rental & Reservations","http://grcity.us/police-department/Office%20of%20Film,%20Music%20and%20Special%20Events/Pages/Applications.aspx",76,"2012-05-02 19:59:40","2012-05-02 19:59:40"
34,"Clemente Skatepark",http://www.clementeskatepark.org/,76,"2012-05-02 20:02:12","2012-05-02 20:02:12"
35,"Office of Special Events: rental & reservations","http://grcity.us/police-department/Office%20of%20Film,%20Music%20and%20Special%20Events/Pages/Applications.aspx",54,"2012-05-02 20:04:45","2012-05-02 20:04:45"
36,"Office of Special Events - Rental & Reservations","http://grcity.us/police-department/Office%20of%20Film,%20Music%20and%20Special%20Events/Pages/Applications.aspx",77,"2012-05-02 20:08:37","2012-05-02 20:08:37"
37,"Office of Special Events - Rental & Reservations","http://grcity.us/police-department/Office%20of%20Film,%20Music%20and%20Special%20Events/Pages/Applications.aspx",58,"2012-05-02 20:09:24","2012-05-02 20:09:24"
38,"Office of Special Events - Rental & Reservations","http://grcity.us/police-department/Office%20of%20Film,%20Music%20and%20Special%20Events/Pages/Applications.aspx",16,"2012-05-02 20:10:03","2012-05-02 20:10:03"
39,"Office of Special Events - Rental & Reservations","http://grcity.us/police-department/Office%20of%20Film,%20Music%20and%20Special%20Events/Pages/Applications.aspx",37,"2012-05-02 20:15:35","2012-05-02 20:15:35"
40,WinterWest,http://welcomewest.org/winterwest/,37,"2012-05-02 20:15:35","2012-05-02 20:15:35"
41,"Office of Special Events - Rental & Reservations","http://grcity.us/police-department/Office%20of%20Film,%20Music%20and%20Special%20Events/Pages/Applications.aspx",1,"2012-05-02 20:18:13","2012-05-02 20:18:13"
42,"A pool for the people: the building of Richmond Pool and Bathhouse",http://www.historygrandrapids.org/explore.php?cat=4&essay=17*,37,"2012-05-02 20:21:14","2012-05-02 20:21:14"
43,"Office of Special Events - Rental & Reservations","http://grcity.us/police-department/Office%20of%20Film,%20Music%20and%20Special%20Events/Pages/Applications.aspx",40,"2012-05-02 20:24:52","2012-05-02 20:24:52"
44,"Office of Special Events - Rental & Reservations","http://grcity.us/police-department/Office%20of%20Film,%20Music%20and%20Special%20Events/Pages/Applications.aspx",41,"2012-05-02 20:26:56","2012-05-02 20:26:56"
45,"Office of Special Events - Rental & Reservations","http://grcity.us/police-department/Office%20of%20Film,%20Music%20and%20Special%20Events/Pages/Applications.aspx",71,"2012-05-02 20:27:46","2012-05-02 20:27:46"
46,"Riverside Tree Tour Map",http://www.grcity.us/public-services/Parks-Recreation-Forestry/Documents/14399_Riverside%20Park%20Tree%20brochure_final%20for%20website.pdf,1,"2012-05-11 17:00:29","2012-05-11 17:00:29"
